,AssessorID,FLD_ZONE,ZONE_SUBTY
295,7436-001-906,A,
296,7436-004-914,A,
297,7436-005-909,A,
298,7436-002-013,A,
299,7436-001-903,A,
300,8059-005-027,AE,
301,8059-005-054,AE,
302,8059-005-056,AE,
303,8059-005-053,AE,
304,8059-005-034,AE,
305,8059-005-035,AE,
306,8059-005-057,AE,
307,8059-005-055,AE,
308,3118-014-023,X,AREA OF MINIMAL FLOOD HAZARD
309,3118-014-907,X,AREA OF MINIMAL FLOOD HAZARD
310,5512-002-001,X,AREA OF MINIMAL FLOOD HAZARD
311,3118-012-028,AO,
312,3118-013-024,AO,
313,3009-006-042,X,AREA OF MINIMAL FLOOD HAZARD
314,3009-006-047,X,AREA OF MINIMAL FLOOD HAZARD
315,3009-006-045,X,AREA OF MINIMAL FLOOD HAZARD
316,3009-006-044,X,AREA OF MINIMAL FLOOD HAZARD
317,3009-005-018,X,AREA OF MINIMAL FLOOD HAZARD
318,3009-005-032,X,AREA OF MINIMAL FLOOD HAZARD
319,3009-005-036,X,AREA OF MINIMAL FLOOD HAZARD
320,3009-005-033,X,AREA OF MINIMAL FLOOD HAZARD
321,3009-005-012,X,AREA OF MINIMAL FLOOD HAZARD
322,2549-004-903,AO,
323,7306-019-835,A,
324,2529-028-006,X,AREA OF MINIMAL FLOOD HAZARD
325,2526-025-021,X,AREA OF MINIMAL FLOOD HAZARD
326,2529-028-008,X,AREA OF MINIMAL FLOOD HAZARD
327,6168-009-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
328,6168-010-038,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
329,6168-010-009,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
330,6168-011-045,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
331,6168-011-047,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
332,6176-013-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
333,6168-021-028,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
334,6168-022-025,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
335,6168-022-027,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
336,6176-013-040,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
337,6168-021-022,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
338,6176-013-041,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
339,6168-011-044,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
340,6176-013-025,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
341,6154-018-026,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
342,6154-020-002,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
343,6154-020-018,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
344,6154-017-002,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
345,6154-018-002,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
346,6154-017-050,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
347,6154-017-024,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
348,6154-024-026,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
349,6154-019-031,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
350,6169-024-002,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
351,6169-025-004,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
352,6167-010-024,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
353,6167-016-026,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
354,6169-031-014,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
355,6169-026-010,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
356,6167-017-022,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
357,6169-021-017,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
358,6169-023-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
359,6169-026-007,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
360,6169-021-015,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
361,6169-027-007,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
362,6169-030-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
363,6169-028-014,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
364,6167-017-011,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
365,6169-029-001,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
366,6169-027-025,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
367,6169-020-021,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
368,6169-027-014,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
369,6169-028-009,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
370,6169-024-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
371,6167-006-007,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
372,6169-026-001,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
373,6169-020-002,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
374,6167-016-011,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
375,6169-020-014,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
376,6167-019-025,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
377,6169-024-018,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
378,6169-028-017,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
379,6169-022-025,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
380,6169-026-008,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
381,6169-023-007,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
382,6169-027-009,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
383,6169-028-015,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
384,6167-010-036,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
385,6169-022-024,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
386,6169-031-001,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
387,6169-020-012,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
388,6169-021-019,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
389,6169-020-004,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
390,6169-022-003,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
391,6169-026-003,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
392,6169-031-002,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
393,6167-014-024,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
394,6169-025-016,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
395,6169-024-015,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
396,6167-014-027,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
397,6169-025-023,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
398,6169-022-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
399,6169-031-012,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
400,6169-026-006,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
401,6169-020-008,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
402,6169-022-026,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
403,6169-024-023,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
404,6167-014-023,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
405,6169-028-003,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
406,6167-007-001,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
407,6167-007-002,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
408,6169-030-018,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
409,6169-020-023,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
410,6169-025-017,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
411,6169-031-028,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
