Unnamed: 0,city,street_address,zip,lat,lon,name,rating,hours,place_id,elevation,closest_station_name,closest_station_lat,closest_station_lon,closest_station_dist
10,Compton,2200 S Central Ave,90220,33.8723526,-118.2480468,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ8eTjV6_LwoARtAf5YOgQ9Uo,41.23900985717773,Compton Fire Dept. Station 4,33.8757358,-118.2397825,0.8506752091462954
11,Covina,1371 Grand Ave,91722,34.1049029,-117.8730604,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJnxDhiQnXwoARYhAnSuBsJcU,197.8641815185547,Los Angeles County Fire Dept. Station 153,34.0961106,-117.8576181,1.7255453801676504
12,Culver City,13425 Washington Blvd,90292,33.9916475,-118.4462335,In-N-Out Burger,4.5,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ3zcEqI66woAR1Ej8yoqARk8,7.543384552001953,Los Angeles County Fire Dept. Station #110,33.9839714,-118.448567,0.880241665823329
13,Diamond Bar,21133 Golden Springs Dr,91789,34.0004987,-117.8434861,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJPS4ihHcrw4AR0CFX7IOz_Q8,179.0069732666016,Los Angeles County Fire Dept. Station 120,34.0019409,-117.8141655,2.707630914950591
14,Downey,8767 Firestone Blvd,90241,33.9360724,-118.1242232,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJc6ml1ZzNwoAR8De2jv6hql0,34.49874114990234,Downey Fire Dept. Station #4,33.943604,-118.108721,1.657255734421359
15,El Segundo,600 N Sepulveda Blvd,90266,33.9239,-118.39539,In-N-Out Burger,4.5,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",,37.1402702331543,El Segundo Fire Station #2,33.9238589,-118.3850482,0.9542222186780139
16,Gardena,1701 Artesia Blvd,90248,33.8731232,-118.3073577,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ2_4hJWS1woAR89g78FFZh38,10.44094562530518,Los Angeles County Fire Dept. Station 158,33.8835008,-118.3060791,1.1599593101168901
17,Glendale,310 Harvey Dr,91206,34.1486551,-118.2273294,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ-TTKY3PBwoARUi52zuHAUNM,210.2628631591797,Glendale Fire Station 25,34.1513698,-118.2372082,0.957872149167701
18,Glendale,119 S Brand Blvd,91210,34.1455831,-118.2552662,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJX16Kof_AwoAR6pUSP5qWddA,162.9302978515625,Glendale Fire Station 21,34.1436674,-118.2610753,0.5754744510696157
19,Glendora,1261 S Lone Hill Ave,91740,34.1167671,-117.8294641,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJwRm8fFMvw4AR5__hsWgIvGc,267.6138305664062,Los Angeles County Fire Dept. Station 86,34.1282215,-117.8201282,1.5364852605809733
20,Hacienda Heights,14620 Gale Ave,91745,34.0194329,-117.9872484,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJPa_okJDWwoAR0I7WROPDnrM,110.476432800293,Los Angeles County Fire Dept. Station 91,33.9965396,-117.9884997,2.5482339749509917
21,Hollywood,7009 Sunset Blvd,90028,34.0982287,-118.3416747,In-N-Out Burger,4.5,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJDaqRkya_woARN85cYzM3cbA,105.6077728271484,Los Angeles Fire Department Station 41,34.097288,-118.3531375,1.060649911366067
22,Huntington Park,6000 Pacific Blvd,90255,33.987022,-118.2248164,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJp3LZFiHJwoAR20ih6mmhqp0,52.71546936035156,Los Angeles County Fire Dept. Station 164,33.98329590000001,-118.2304771,0.6663836467438469
23,Industry,17849 Colima Rd,91748,33.9903118,-117.9154051,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJbzNAfXsqw4AROkEFYd16l0I,136.4437866210938,Los Angeles County Fire Dept. Station 118,34.0002482,-117.9354744,2.1549842653496136
24,Industry,21620 Valley Blvd,91789,34.027487,-117.8346687,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJiwk1-vQrw4ARVR5LwUN-UjQ,184.7025451660156,Los Angeles County Fire Station 146,34.0450905,-117.8528439,2.5761082738354095
25,Inglewood,3411 W Century Blvd,90303,33.9457913,-118.3323452,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJNZfs_EK2woARFSCfjQganDg,41.61074066162109,Los Angeles County Fire Dept. Station 170,33.9384212,-118.3268838,0.9619912148158891
26,La Mirada,14341 Firestone Blvd,90638,33.8826416,-118.0246209,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJHc5dc4Qs3YARtQICsOW_Leo,20.46807479858398,Los Angeles County Fire Dept. Station 35,33.8736066,-118.0394337,1.6968494257016296
27,La Puente,15259 E Amar Rd,91792,34.03755,-117.95167,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",,99.82472229003906,Los Angeles County Fire Dept. Station 26,34.0363208,-117.9513042,0.1407758018114495
28,La Verne,2098 Foothill Blvd,91750,34.1131477,-117.7655802,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJZXiNRrcvw4ARe-a1qJ0qzRI,338.8296813964844,City of La Verne Fire Station 61,34.1010627,-117.7711061,1.4368773459700652
29,Lakewood,5820 Bellflower Blvd,90713,33.8610482,-118.1246689,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJnbQ2-48y3YARgirIVsmPfVQ,17.55470085144043,Los Angeles County Fire Dept. Station 45,33.8535291,-118.1441977,1.987676524175697
30,Lancaster,2021 W Ave I,93536,34.70447010000001,-118.1669994,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJQdZt3NNEwoARcAF_WauxvUc,709.256591796875,Los Angeles County Fire Dept. Station 33,34.6993703,-118.141368,2.410770242419413
31,Long Beach,6391 Pacific Coast Hwy,90803,33.7584358,-118.1110948,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJy9T1k9gv3YARIQPNoStldu0,3.906156063079834,Long Beach Fire Dept. Station 21,33.7507195,-118.1137669,0.8928696321139706
32,Long Beach,4600 E Los Coyotes Diagonal,90815,33.7911915,-118.1401318,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJz3m29JMx3YARId4O4ll1KqU,7.979658126831055,Long Beach Fire Dept. Station 17,33.79830090000001,-118.1363792,0.8632411704112631
33,Long Beach,7691 Carson Blvd,90808,33.8310886,-118.0848507,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJve4wOsMt3YAREgJwNvRNmQw,10.46150302886963,Los Angeles County Fire Dept. Station 34,33.83697,-118.072308,1.3303458002180382
34,Long Beach,4041 N Lakewood Blvd,90808,33.8316622,-118.1431017,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJdaVMSrsz3YAR-jGIl9eAWFQ,14.03767967224121,Long Beach Fire Dept. Station 19,33.8227243,-118.1343652,1.2802347174335151
35,Los Angeles,9245 Venice Blvd,90034,34.0264602,-118.3942849,In-N-Out Burger,4.5,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJwbhVFCq6woARgQ74YpgDdhw,32.98187255859375,Culver City Fire Department Station 1,34.0225706,-118.3950873,0.43878049254955176
36,Monterey Park,5500 Market Pl Dr,91755,34.0365008,-118.0974343,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJQc07F9bRwoARSzkWmu6LJ6I,122.5247039794922,Montebello Fire Dept. Station 55,34.01914780000001,-118.1051864,2.0575689598171616
37,Moorpark,856 New Los Angeles Ave,93021,34.2802008,-118.8654605,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJJ8jdJwIy6IARwNYqa6kiyE4,166.9796295166016,Ventura County Fire Station 42,34.2857386,-118.8779926,1.3057259341143286
38,Newhall,25220 The Old Rd,91381,34.3771178,-118.5653501,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJhabNFSHJwoARzwCQxNP6Ols,406.9670715332031,Los Angeles County Fire Dept. Station 124,34.3875486,-118.582145,1.9289012789855002
39,North Hollywood,5864 Lankershim Blvd,91601,34.1774723,-118.3819181,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJI25WUN2VwoAREUvf8-l0huA,201.462890625,Los Angeles Fire Dept. Station 60,34.168263581095495, -118.37849838954989,1.071203812180514
40,Northridge,9858 Balboa Blvd,91325,34.2500042,-118.5019746,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJl7jGuImawoARzc4lb79jXWg,283.5797424316406,Los Angeles Fire Dept. Station 87,34.254638,-118.5018572,0.5153687327394116
41,Northridge,8830 Tampa Ave,91324,34.2308305,-118.5531238,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ64anfaGbwoARggXg0UQWTEU,247.8091583251953,Los Angeles Fire Dept. Station 104,34.222710254936864,-118.5710477957837,1.8790561046605532
42,Norwalk,14330 Pioneer Blvd,90650,33.9012576,-118.0823417,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJD3iTq0VN64ARnzTZUdPbTkE,26.81265640258789,Los Angeles County Fire Dept. Station 20,33.91385430841528, -118.07432408371687,1.5841085117201732
43,Oxnard,381 W Esplanade Dr,93036,34.2350342,-119.1796287,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJv8zrm1ZM6IARM5a7SipcUOc,22.5903491973877,Oxnard Fire Station 4,34.2257177,-119.1793399,1.036289144683557
44,Palmdale,142 E Palmdale Blvd,93550,34.5793258,-118.127949,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJOzT-4zBYwoARWXJRBapAIv4,820.6911010742188,Los Angeles County Fire Dept. Station #37,34.5781094,-118.1139936,1.2847865985056048
45,Panorama City,13651 Roscoe Blvd,91402,34.221955,-118.4307999,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJf0lWStKWwoARyOb8-2PE7gM,245.0183563232422,Los Angeles Fire Station 81,34.2131734,-118.4447216,1.6099953716029873
46,Pasadena,2114 E Foothill Blvd,91107,34.1494623,-118.1067843,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJmSJ_IazcwoARE0JCnRD1gOg,239.8425750732422,Pasadena Fire Dept. Station 32,34.1542185,-118.1002378,0.8016197196971272
47,Pico Rivera,9070 Whittier Blvd,90660,34.000531,-118.0830505,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJIQiWpcHRwoAR4RZjXxUzkP0,54.39466857910156,Los Angeles County Fire Dept. Station 40,34.0014217,-118.0783564,0.44390984372363346
48,Pomona,2505 Garey Ave,91766,34.0257827,-117.749484,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ41SjApTRwoARWQ1azFQ4iSo,233.8183441162109,Los Angeles County Fire Dept. Station 185,34.0375222,-117.7379066,1.6858828248185795
49,Pomona,1851 Indian Hill Blvd,91767,34.0778678,-117.7195831,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJwWhqH8Be7IAR4d1a45axax8,306.5010070800781,Los Angeles County Fire Dept. Station 183,34.06617595945478,-117.73649925755227,2.0292467870034145
50,Porter Ranch,19901 Rinaldi St,91326,34.2758444,-118.568076,In-N-Out Burger,4.6,"Monday: 10:30 AM – 11:00 PM, Tuesday: 10:30 AM – 11:00 PM, Wednesday: 10:30 AM – 11:00 PM, Thursday: 10:30 AM – 11:00 PM, Friday: 10:30 AM – 1:00 AM, Saturday: 10:30 AM – 1:00 AM, Sunday: 10:30 AM – 11:00 PM",ChIJzTuIh62EwoARFaKH3wGhsqg,361.4879455566406,La City Fire Station 28,34.2811201,-118.5697103,0.6055457211937805
